Date,returns,regime
2022-10-15,-0.006170546675591737,stable_range
2022-10-16,0.010458171486817167,stable_range
2022-10-17,0.014563494131467007,stable_range
2022-10-18,-0.011127327349328565,carry
2022-10-19,-0.010130621895940859,carry
2022-10-20,-0.004492679159130498,carry
2022-10-21,0.00621191065339352,carry
2022-10-22,0.0018613913940529582,carry
2022-10-23,0.01850815095417208,carry
2022-10-24,-0.011381303255268389,carry
2022-10-25,0.038050125599863024,carry
2022-10-26,0.033017194358947406,carry
2022-10-27,-0.023607984321621485,carry
2022-10-28,0.015142492579417856,carry
2022-10-29,0.010775490653264773,carry
2022-10-30,-0.008822978719624204,carry
2022-10-31,-0.006799218852899474,carry
2022-11-01,-0.0005124320157945651,carry
2022-11-02,-0.01603042401585493,carry
2022-11-03,0.002501116490787244,carry
2022-11-04,0.04533199824767065,carry
2022-11-05,0.006385182519711849,carry
2022-11-06,-0.01687848726805324,carry
2022-11-07,-0.015587859865227252,carry
2022-11-08,-0.10542864681146098,stable_range
2022-11-09,-0.15488954817014716,stress
2022-11-10,0.1020374090112842,panic
2022-11-11,-0.03191845360130116,panic
2022-11-12,-0.013898139747380939,panic
2022-11-13,-0.026896704984698754,panic
2022-11-14,0.016064732404599078,panic
2022-11-15,0.01590431717951544,panic
2022-11-16,-0.012825680370738035,panic
2022-11-17,0.0010839194206494296,panic
2022-11-18,0.0006146278457023498,panic
2022-11-19,0.0008242927596795972,panic
2022-11-20,-0.02543603029442077,panic
2022-11-21,-0.03145906258707414,panic
2022-11-22,0.02517471508039186,panic
2022-11-23,0.025667956985737504,panic
2022-11-24,-0.00037586363225689277,panic
2022-11-25,-0.004988374895103048,panic
2022-11-26,-0.0034899891216231276,panic
2022-11-27,-0.0011944668045808346,panic
2022-11-28,-0.013918848240971523,panic
2022-11-29,0.01394046411034608,panic
2022-11-30,0.043059766583943886,panic
2022-12-01,-0.011802068595367332,panic
2022-12-02,0.007136986045805121,panic
2022-12-03,-0.010614234867796273,panic
2022-12-04,0.01305884246336571,panic
2022-12-05,-0.009128269217154126,panic
2022-12-06,0.006733035250819497,panic
2022-12-07,-0.014224977832437721,panic
2022-12-08,0.022614200081039638,stress
2022-12-09,-0.005838370505888547,stable_range
2022-12-10,-0.00025846420531521353,carry
2022-12-11,-0.00143319679738864,carry
2022-12-12,0.0059599279123048595,carry
2022-12-13,0.03286478873072886,carry
2022-12-14,0.0019289306421712124,carry
2022-12-15,-0.02562838102102438,carry
2022-12-16,-0.04218980898149945,stable_range
2022-12-17,0.008827572352892032,stable_range
2022-12-18,-0.002212331171359141,stable_range
2022-12-19,-0.01917645189485355,stable_range
2022-12-20,0.027988705082472278,stable_range
2022-12-21,-0.005264509420176635,carry
2022-12-22,0.0007612154110786702,carry
2022-12-23,-0.0019858084288219657,carry
2022-12-24,0.0030199561547248985,carry
2022-12-25,-0.0003425096739709631,carry
2022-12-26,0.004609855984671537,carry
2022-12-27,-0.012048246868378581,carry
2022-12-28,-0.009895050300250239,carry
2022-12-29,0.00540864482551941,carry
2022-12-30,-0.002391695878759684,carry
2022-12-31,-0.003323665649558149,carry
2023-01-01,0.00467760631157723,carry
2023-01-02,0.003805700684704715,carry
2023-01-03,-0.0005162548994983624,carry
2023-01-04,0.010934153962035356,carry
2023-01-05,-0.0015728177184386805,carry
2023-01-06,0.006820792235553174,carry
2023-01-07,0.00018340582830352,carry
2023-01-08,0.00799308234902105,carry
2023-01-09,0.006148589187306557,carry
2023-01-10,0.014418133870887372,carry
2023-01-11,0.02762115049773119,carry
2023-01-12,0.05080318049018759,carry
2023-01-13,0.053649212803668606,stable_range
2023-01-14,0.052192440560842025,stable_range
2023-01-15,-0.0045631527773636734,carry
2023-01-16,0.013737719952276949,carry
2023-01-17,-0.00038332437933474676,carry
2023-01-18,-0.02259283115330066,carry
2023-01-19,0.019055334102897954,carry
2023-01-20,0.0726845526110478,stable_range
2023-01-21,0.004447222994453112,stable_range
2023-01-22,-0.002514790230431855,stable_range
2023-01-23,0.00937544219856928,stable_range
2023-01-24,-0.013077079200906103,stable_range
2023-01-25,0.021043184701323544,stable_range
2023-01-26,-0.003687148593844675,stable_range
2023-01-27,0.001993046474165044,stable_range
2023-01-28,-0.002066314313093378,stable_range
2023-01-29,0.03177133538504421,stable_range
2023-01-30,-0.040096914665951826,stable_range
2023-01-31,0.013012288539514132,stable_range
2023-02-01,0.024945734590003956,stable_range
2023-02-02,-0.010674749877368259,stable_range
2023-02-03,-0.000961136247671562,stable_range
2023-02-04,-0.0050223137428644544,stable_range
2023-02-05,-0.016254488231275857,stable_range
2023-02-06,-0.008555376421285297,stable_range
2023-02-07,0.02191019571493288,stable_range
2023-02-08,-0.014063722484005989,stable_range
2023-02-09,-0.05007294792111713,stable_range
2023-02-10,-0.0077228177249046275,stable_range
2023-02-11,0.010095720621826006,stable_range
2023-02-12,-0.0037871607629455096,stable_range
2023-02-13,0.0009128497942385424,stable_range
2023-02-14,0.018747466050136215,stable_range
2023-02-15,0.08977000786319626,stable_range
2023-02-16,-0.028558101481565734,stable_range
2023-02-17,0.03910624942610064,stable_range
2023-02-18,0.0030758236488141917,stable_range
2023-02-19,-0.01280971909443967,stable_range
2023-02-20,0.02040504474431612,stable_range
2023-02-21,-0.015946381537723795,stable_range
2023-02-22,-0.010180396881003117,stable_range
2023-02-23,-0.010027916762018151,stable_range
2023-02-24,-0.03179206740644356,stable_range
2023-02-25,-0.000981248083164121,stable_range
2023-02-26,0.016511545833869257,stable_range
2023-02-27,-0.001628652491694882,stable_range
2023-02-28,-0.016092730875103014,stable_range
2023-03-01,0.021336804939163678,stable_range
2023-03-02,-0.007261350209481709,stable_range
2023-03-03,-0.04856242572977136,stable_range
2023-03-04,-0.0004173035221196778,stable_range
2023-03-05,0.00366895467532336,stable_range
2023-03-06,-0.0002565841781915384,stable_range
2023-03-07,-0.009406138966041635,stable_range
2023-03-08,-0.022837315061132093,stable_range
2023-03-09,-0.06442451332853331,stable_range
2023-03-10,-0.00866965688311379,stable_range
2023-03-11,0.021812221244110887,stable_range
2023-03-12,0.07160391184533008,stress
2023-03-13,0.08778363436848541,stress
2023-03-14,0.02241616479750579,stress
2023-03-15,-0.015069419825617957,stress
2023-03-16,0.027387721969650478,stress
2023-03-17,0.09043081735478727,stress
2023-03-18,-0.016843655914946763,stress
2023-03-19,0.03901251239696352,stress
2023-03-20,-0.009728058677075274,stress
2023-03-21,0.014607259457310753,stress
2023-03-22,-0.031304934786025286,stress
2023-03-23,0.03690243092144147,stress
2023-03-24,-0.03011973318555565,stress
2023-03-25,5.171583626720892e-05,stress
2023-03-26,0.01800847790347154,stress
2023-03-27,-0.030997440056033318,stress
2023-03-28,0.004714100093914092,stress
2023-03-29,0.03885339931269162,stress
2023-03-30,-0.011169598741333131,stress
2023-03-31,0.015746414888453637,stress
2023-04-01,-0.0023712364214005313,stress
2023-04-02,-0.007480171844976413,stress
2023-04-03,-0.014613274150394037,stress
2023-04-04,0.01350558587463783,stress
2023-04-05,0.0003512057047058866,stress
2023-04-06,-0.004761257346579407,stress
2023-04-07,-0.00422660089629551,stress
2023-04-08,0.0007851839396583646,stress
2023-04-09,0.01369069252890777,stress
2023-04-10,0.045533646757390224,stress
2023-04-11,0.019439489564332186,stress
2023-04-12,-0.0031803678161343176,stable_range
2023-04-13,0.008590133768281546,stable_range
2023-04-14,0.002845797962018112,stable_range
2023-04-15,-0.0054997371675221595,stable_range
2023-04-16,-0.00010359312238552485,stable_range
2023-04-17,-0.02912872327682135,stable_range
2023-04-18,0.03183646099781629,stable_range
2023-04-19,-0.05319953662867234,stable_range
2023-04-20,-0.020211126619281063,stable_range
2023-04-21,-0.034910877271712444,stable_range
2023-04-22,0.019624756556398195,stable_range
2023-04-23,-0.008161741227378502,stable_range
2023-04-24,-0.0023965485595713668,stable_range
2023-04-25,0.02802320777395386,stable_range
2023-04-26,0.004057925868580612,stable_range
2023-04-27,0.03631313286229464,stable_range
2023-04-28,-0.004540602889751968,stable_range
2023-04-29,-0.0031328032278842735,stable_range
2023-04-30,0.0006944394889976754,stable_range
2023-05-01,-0.041052856211014906,stable_range
2023-05-02,0.020749270291120427,stable_range
2023-05-03,0.011294600825028724,stable_range
2023-05-04,-0.005482697825375376,stable_range
2023-05-05,0.02352452363535224,stable_range
2023-05-06,-0.02155362050914689,stable_range
2023-05-07,-0.015678412319992844,stable_range
2023-05-08,-0.027097480312589104,stable_range
2023-05-09,-0.0012826051136456092,stable_range
2023-05-10,-0.0013393336115541375,stable_range
2023-05-11,-0.0227376278728039,stable_range
2023-05-12,-0.007278017155925187,stable_range
2023-05-13,-0.0007804618022563855,stable_range
2023-05-14,0.0054570113859458225,stable_range
2023-05-15,0.009683688179724162,stable_range
2023-05-16,-0.005754943306692564,stable_range
2023-05-17,0.013305949198470446,stable_range
2023-05-18,-0.020896322938492334,stable_range
2023-05-19,0.0021562704301694635,carry
2023-05-20,0.008865600285434393,carry
2023-05-21,-0.01394736681453699,carry
2023-05-22,0.0036358955711424203,carry
2023-05-23,0.013848962643426162,carry
2023-05-24,-0.03327040018789597,carry
2023-05-25,0.005354526205137628,carry
2023-05-26,0.009139332662057487,carry
2023-05-27,0.00556333034484893,carry
2023-05-28,0.04430949975360071,carry
2023-05-29,-0.012171112107334788,carry
2023-05-30,-0.0015702994220325468,carry
2023-05-31,-0.017577792723265092,carry
2023-06-01,-0.014792581991188054,carry
2023-06-02,0.01589161106579633,carry
2023-06-03,-0.006422915434419119,carry
2023-06-04,0.0016214839752998166,carry
2023-06-05,-0.051410345698891795,carry
2023-06-06,0.05581511856233619,stable_range
2023-06-07,-0.03332542412080894,stable_range
2023-06-08,0.006138366063704449,stable_range
2023-06-09,-0.001050860137740086,stable_range
2023-06-10,-0.024045314677471934,stable_range
2023-06-11,0.0034340762243438776,stable_range
2023-06-12,-0.0014531650030546537,stable_range
2023-06-13,0.0006263269559741463,stable_range
2023-06-14,-0.031115354032620144,stable_range
2023-06-15,0.017819375410116443,stable_range
2023-06-16,0.0289427732653721,stable_range
2023-06-17,0.0069349007932065195,stable_range
2023-06-18,-0.006602603438313832,stable_range
2023-06-19,0.019359247201741925,stable_range
2023-06-20,0.05352849528514009,stable_range
2023-06-21,0.05827421320682117,stable_range
2023-06-22,-0.0038377235796951737,stable_range
2023-06-23,0.02584590576815378,stable_range
2023-06-24,-0.004793067902493928,stable_range
2023-06-25,-0.0022426607224285255,stable_range
2023-06-26,-0.006884835938176551,stable_range
2023-06-27,0.013682563415242946,stable_range
2023-06-28,-0.01980891791303767,stable_range
2023-06-29,0.011865197537731036,stable_range
2023-06-30,0.0010472432791648364,stable_range
2023-07-01,0.0036951443630783326,stable_range
2023-07-02,0.001002809469143997,stable_range
2023-07-03,0.017342426317960315,stable_range
2023-07-04,-0.012234379050443955,stable_range
2023-07-05,-0.008595533521292817,stable_range
2023-07-06,-0.020020299639946313,stable_range
2023-07-07,0.01437090998029806,stable_range
2023-07-08,-0.0016401345457067653,stable_range
2023-07-09,-0.004012544787339061,stable_range
2023-07-10,0.008029538805166095,stable_range
2023-07-11,0.006765948365584515,stable_range
2023-07-12,-0.007516669538967959,stable_range
2023-07-13,0.03505911799946575,stable_range
2023-07-14,-0.036955452769762046,stable_range
2023-07-15,-0.0012621409438578614,stable_range
2023-07-16,-0.0015417915284865274,stable_range
2023-07-17,-0.003418965294113633,stable_range
2023-07-18,-0.009643886494910275,stable_range
2023-07-19,0.0019193869502834365,stable_range
2023-07-20,-0.004083626307646249,carry
2023-07-21,0.003910458253167224,carry
2023-07-22,-0.004589155219131938,carry
2023-07-23,0.010449658783391701,carry
2023-07-24,-0.030633538164858885,carry
2023-07-25,0.0017284554802405464,carry
2023-07-26,0.004355653333464597,carry
2023-07-27,-0.004927238584293436,carry
2023-07-28,0.0037094442045335473,carry
2023-07-29,0.0012840607690722545,carry
2023-07-30,-0.0027837737874393067,carry
2023-07-31,-0.0015450628224417467,carry
2023-08-01,0.01513023382608844,carry
2023-08-02,-0.01780750751690934,carry
2023-08-03,0.0009161807791750279,carry
2023-08-04,-0.0035908335462961935,carry
2023-08-05,-0.0011000318899209226,carry
2023-08-06,-9.347994530765627e-06,carry
2023-08-07,0.004765273802377892,carry
2023-08-08,0.01984638697905339,carry
2023-08-09,-0.006877101417061734,carry
2023-08-10,-0.004471948989328098,carry
2023-08-11,-0.0010837469218066252,carry
2023-08-12,0.0006206039371356436,carry
2023-08-13,-0.004533340724443713,carry
2023-08-14,0.004277614074716283,carry
2023-08-15,-0.008129120118753778,carry
2023-08-16,-0.016193584838703763,carry
2023-08-17,-0.07362412009606191,carry
2023-08-18,-0.023334248653811243,carry
2023-08-19,0.0017891559507894222,carry
2023-08-20,0.003571869420107809,carry
2023-08-21,-0.002501958864606914,carry
2023-08-22,-0.0035464695192522202,carry
2023-08-23,0.015248455549160829,carry
2023-08-24,-0.01023956576112509,carry
2023-08-25,-0.004393992436939317,carry
2023-08-26,-0.0015062619864454853,carry
2023-08-27,0.003118365040993392,carry
2023-08-28,0.0006305878251208892,carry
2023-08-29,0.060249892570851026,stable_range
2023-08-30,-0.015634289371322937,stable_range
2023-08-31,-0.05132914544958933,stable_range
2023-09-01,-0.005054814300673318,stable_range
2023-09-02,0.0026349868784771645,stable_range
2023-09-03,0.0038877655416867615,stable_range
2023-09-04,-0.006069712504034206,stable_range
2023-09-05,-0.0012573014244295709,stable_range
2023-09-06,-0.001038013801593385,stable_range
2023-09-07,0.01873210550195057,stable_range
2023-09-08,-0.012831149860508746,stable_range
2023-09-09,-0.00038518556307899995,stable_range
2023-09-10,-0.0024532679048573473,stable_range
2023-09-11,-0.026261881067480307,stable_range
2023-09-12,0.0263051279529175,stable_range
2023-09-13,0.015173852958685846,stable_range
2023-09-14,0.011800835130971608,stable_range
2023-09-15,0.0025972414093191217,stable_range
2023-09-16,-0.0015199103541191222,carry
2023-09-17,-0.0012840741866492755,carry
2023-09-18,0.008260511389751386,carry
2023-09-19,0.016931102662432373,carry
2023-09-20,-0.0029114788993918343,carry
2023-09-21,-0.021020467716698094,stable_range
2023-09-22,0.0004491505408555205,carry
2023-09-23,-6.686902016047694e-06,carry
2023-09-24,-0.012210127075315798,carry
2023-09-25,0.001585160786217759,carry
2023-09-26,-0.003093569595525136,carry
2023-09-27,0.005153782852789497,carry
2023-09-28,0.02506320623495958,carry
2023-09-29,-0.004072674570297436,carry
2023-09-30,0.002085958120685116,carry
2023-10-01,0.036976120856382695,carry
2023-10-02,-0.01631914578851585,carry
2023-10-03,-0.0036683170659445614,carry
2023-10-04,0.013377719302482879,carry
2023-10-05,-0.013890662255842758,carry
2023-10-06,0.019171883788155934,carry
2023-10-07,0.0007955652201821253,carry
2023-10-08,-0.0012074286830624696,carry
2023-10-09,-0.012659387727925962,carry
2023-10-10,-0.0070090060125914885,carry
2023-10-11,-0.019081220842271783,carry
2023-10-12,-0.00434538164717781,carry
2023-10-13,0.0039380057832304975,carry
2023-10-14,-2.4866641728645306e-05,carry
2023-10-15,0.011030760315870677,carry
2023-10-16,0.04885439730476576,carry
2023-10-17,-0.0036433994327744555,carry
2023-10-18,-0.0030807197496875486,carry
2023-10-19,0.013724231161473081,carry
2023-10-20,0.03298576898255148,carry
2023-10-21,0.007901299916077796,carry
2023-10-22,0.002519829955235934,carry
2023-10-23,0.09812340552916099,stable_range
2023-10-24,0.024342751787773464,stable_range
2023-10-25,0.017581001125127033,stable_range
2023-10-26,-0.010083818433932462,stable_range
2023-10-27,-0.007253169256571986,stable_range
2023-10-28,0.0052875149613998505,stable_range
2023-10-29,0.013082482218137433,stable_range
2023-10-30,-0.001046255776520464,stable_range
2023-10-31,0.004782938801692802,stable_range
2023-11-01,0.021952875620689455,stable_range
2023-11-02,-0.014181643038139046,stable_range
2023-11-03,-0.005911206955145199,stable_range
2023-11-04,0.010022958693683921,stable_range
2023-11-05,-0.0009365213169939803,stable_range
2023-11-06,-0.0003419870125084872,stable_range
2023-11-07,0.011526405303600254,stable_range
2023-11-08,0.005955525293475274,stable_range
2023-11-09,0.02869223982446583,stable_range
2023-11-10,0.01677834605033404,stable_range
2023-11-11,-0.004725682318407844,stable_range
2023-11-12,-0.002251742592082081,stable_range
2023-11-13,-0.015013537055029228,stable_range
2023-11-14,-0.02678435783979465,stable_range
2023-11-15,0.06384619927627835,stable_range
2023-11-16,-0.046629756190665436,stable_range
2023-11-17,0.01214874696667944,stable_range
2023-11-18,-0.000300085015663709,stable_range
2023-11-19,0.021653391391504333,stable_range
2023-11-20,0.002415334454994771,stable_range
2023-11-21,-0.045392621921948366,stable_range
2023-11-22,0.04420138946783627,stable_range
2023-11-23,-0.003819999415433914,stable_range
2023-11-24,0.01148288092363248,stable_range
2023-11-25,0.002026342935600158,stable_range
2023-11-26,-0.00844024984109134,stable_range
2023-11-27,-0.00602017674392167,stable_range
2023-11-28,0.015367313611233842,stable_range
2023-11-29,0.0007241750284948421,stable_range
2023-11-30,-0.0038571889984724806,stable_range
2023-12-01,0.02555073011462817,stable_range
2023-12-02,0.020152443138720524,stable_range
2023-12-03,0.012637770520489717,stable_range
2023-12-04,0.04885656688656327,stable_range
2023-12-05,0.04882523455973004,stable_range
